path,tensor_name,timestep,saliency_mass,l2,l1,max,mean,var
20251002_011439_dataset-03_-.*_A_blacksmith_hammering_glowing_metal_as_sparks_fly_23,x_grad_t,571,2.2649765e-05,1.1710455e-06,2.2649765e-05,1.1920929e-07,1.382432e-09,8.179428e-17
20251002_011439_dataset-03_-.*_A_blacksmith_hammering_glowing_metal_as_sparks_fly_23,x_grad_t,938,0.001945734,1.9881521e-05,0.001945734,1.1324883e-06,1.1875818e-07,1.0022773e-14
20251002_011439_dataset-03_-.*_A_blacksmith_hammering_glowing_metal_as_sparks_fly_23,x_grad_t,547,1.5258789e-05,9.536743e-07,1.5258789e-05,5.9604645e-08,9.313226e-10,5.4647125e-17
20251002_011439_dataset-03_-.*_A_blacksmith_hammering_glowing_metal_as_sparks_fly_23,x_grad_t,216,0.0,0.0,0.0,0.0,0.0,0.0
20251002_011439_dataset-03_-.*_A_blacksmith_hammering_glowing_metal_as_sparks_fly_23,x_grad_t,8,0.0,0.0,0.0,0.0,0.0,0.0
20251002_011439_dataset-03_-.*_A_blacksmith_hammering_glowing_metal_as_sparks_fly_23,x_grad_t,616,3.1232834e-05,1.3927604e-06,3.1232834e-05,1.7881393e-07,1.906301e-09,1.147679e-16
20251002_011439_dataset-03_-.*_A_blacksmith_hammering_glowing_metal_as_sparks_fly_23,x_grad_t,743,0.00016969442,3.6456415e-06,0.00016969442,4.172325e-07,1.0357326e-08,7.039688e-16
20251002_011439_dataset-03_-.*_A_blacksmith_hammering_glowing_metal_as_sparks_fly_23,x_grad_t,727,0.00014984608,3.234067e-06,0.00014984608,2.3841858e-07,9.145879e-09,5.54765e-16
20251002_011439_dataset-03_-.*_A_blacksmith_hammering_glowing_metal_as_sparks_fly_23,x_grad_t,993,0.380813,0.003767467,0.380813,0.00011128187,2.3242981e-05,3.2610473e-10
20251002_011439_dataset-03_-.*_A_blacksmith_hammering_glowing_metal_as_sparks_fly_23,x_grad_t,170,0.0,0.0,0.0,0.0,0.0,0.0
20251002_011439_dataset-03_-.*_A_blacksmith_hammering_glowing_metal_as_sparks_fly_23,x_grad_t,893,0.0009353161,1.1504159e-05,0.0009353161,1.0728836e-06,5.7087163e-08,4.8190898e-15
20251002_011439_dataset-03_-.*_A_blacksmith_hammering_glowing_metal_as_sparks_fly_23,x_grad_t,438,2.8014183e-06,4.0862886e-07,2.8014183e-06,5.9604645e-08,1.70985e-10,1.0162885e-17
20251002_011439_dataset-03_-.*_A_blacksmith_hammering_glowing_metal_as_sparks_fly_23,x_grad_t,947,0.0020248294,2.1355521e-05,0.0020248294,1.4901161e-06,1.2358578e-07,1.2562912e-14
20251002_011439_dataset-03_-.*_A_blacksmith_hammering_glowing_metal_as_sparks_fly_23,x_grad_t,675,8.934736e-05,2.4495987e-06,8.934736e-05,2.3841858e-07,5.4533302e-09,3.365252e-16
20251002_011439_dataset-03_-.*_A_blacksmith_hammering_glowing_metal_as_sparks_fly_23,x_grad_t,66,0.0,0.0,0.0,0.0,0.0,0.0
20251002_011439_dataset-03_-.*_A_blacksmith_hammering_glowing_metal_as_sparks_fly_23,x_grad_t,955,0.0025885701,2.5030757e-05,0.0025885701,1.1324883e-06,1.5799378e-07,1.3279671e-14
20251002_011439_dataset-03_-.*_A_blacksmith_hammering_glowing_metal_as_sparks_fly_23,x_grad_t,861,0.0005699992,8.0757145e-06,0.0005699992,4.172325e-07,3.478999e-08,2.7703655e-15
20251002_011439_dataset-03_-.*_A_blacksmith_hammering_glowing_metal_as_sparks_fly_23,x_grad_t,971,0.0036317706,3.857673e-05,0.0036317706,2.026558e-06,2.2166569e-07,4.1697206e-14
20251002_011439_dataset-03_-.*_A_blacksmith_hammering_glowing_metal_as_sparks_fly_23,x_grad_t,337,0.0,0.0,0.0,0.0,0.0,0.0
20251002_011439_dataset-03_-.*_A_blacksmith_hammering_glowing_metal_as_sparks_fly_23,x_grad_t,594,2.5987625e-05,1.2615925e-06,2.5987625e-05,1.7881393e-07,1.5861588e-09,9.463439e-17
20251002_011439_dataset-03_-.*_A_blacksmith_hammering_glowing_metal_as_sparks_fly_23,x_grad_t,872,0.00068295,9.158579e-06,0.00068295,1.013279e-06,4.168396e-08,3.3822566e-15
20251002_011439_dataset-03_-.*_A_blacksmith_hammering_glowing_metal_as_sparks_fly_23,x_grad_t,813,0.00030380487,5.5007695e-06,0.00030380487,4.7683716e-07,1.8542778e-08,1.5030871e-15
20251002_011439_dataset-03_-.*_A_blacksmith_hammering_glowing_metal_as_sparks_fly_23,x_grad_t,1000,0.55322266,0.0046691895,0.55322266,0.00014472008,3.373623e-05,0.0
20251002_011439_dataset-03_-.*_A_blacksmith_hammering_glowing_metal_as_sparks_fly_23,x_grad_t,800,0.00023370981,4.405505e-06,0.00023370981,3.5762787e-07,1.4264515e-08,9.811827e-16
